Food,Rows,Features,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Log_Loss
Apple,3328,201,1.0,1.0,1.0,1.0,1.0,0.0034018928015667987
Beef,3350,201,1.0,1.0,1.0,1.0,1.0,0.003397748785400835
Bread,3333,201,1.0,1.0,1.0,1.0,1.0,0.0036773327184780108
Cheese,3310,201,1.0,1.0,1.0,1.0,1.0,0.0035951359360498277
Chicken,3264,201,1.0,1.0,1.0,1.0,1.0,0.003763726516779771
Eggs,3370,201,1.0,1.0,1.0,1.0,1.0,0.0033897604488512807
Fish,3327,201,0.9984984984984985,0.9985569985569986,0.998504186004186,0.9984984984984985,0.9984982945464037,0.012418946286153747
Milk,3349,201,1.0,1.0,1.0,1.0,1.0,0.0037040819734817636
Mushroom,3249,201,1.0,1.0,1.0,1.0,1.0,0.00380764469363587
Orange,3227,201,1.0,1.0,1.0,1.0,1.0,0.003722118371540247
Potato,3335,201,1.0,1.0,1.0,1.0,1.0,0.0033914044867054067
Spinach,3343,201,1.0,1.0,1.0,1.0,1.0,0.0036670423931457904
Strawberry,3220,201,1.0,1.0,1.0,1.0,1.0,0.0042926213674336425
Tomato,3199,201,1.0,1.0,1.0,1.0,1.0,0.00337079063305916
Yogurt,3318,201,1.0,1.0,1.0,1.0,1.0,0.003271158182302176
