Feature,Gain
Storage_Days_cube,324.3498840332031
Storage_Days_sq,245.97048950195312
Storage_Days,177.9272918701172
Storage_x_Temperature_sq,164.46981811523438
Temperature,84.43404388427734
Temperature_sq,83.80049133300781
Storage_x_Temperature,76.84571075439453
Storage_sq_x_Temperature,66.53173828125
Temperature_cube,53.7333984375
CO2,17.069660186767578
Temperature_Humidity_Load,14.56376838684082
Storage_Temperature_Humidity,13.122847557067871
Storage_x_CO2,12.718021392822266
Temperature_ratio_Methane,11.099163055419922
Temperature_x_Humidity,10.547290802001953
Storage_x_Methane_sq,8.297109603881836
Temperature_minus_CO2,7.246644496917725
Temperature_x_Methane,5.2720417976379395
Methane,4.692817687988281
CO2_sq,4.313248157501221
Temperature_minus_Methane,4.277719020843506
Storage_x_Methane,3.868206024169922
Temperature_x_CO2,3.406515598297119
Temperature_plus_CO2,2.7698190212249756
CO2_abs,1.5157181024551392
Temperature_plus_Methane,1.4518449306488037
Storage_sq_x_Humidity,1.3478641510009766
Storage_x_Humidity,1.292022705078125
Storage_x_CO2_sq,1.2375376224517822
Humidity_sq,1.0642929077148438
Humidity,0.9663950800895691
Humidity_x_Methane,0.9286651611328125
Temperature_ratio_CO2,0.914780855178833
Temperature_plus_Humidity,0.8362739682197571
Humidity_ratio_CO2,0.833399772644043
Methane_sq,0.7157974243164062
Methane_ratio_CO2,0.6968536376953125
Methane_x_CO2,0.6656484603881836
Temperature_minus_Humidity,0.5884426236152649
Temperature_Humidity_CO2,0.5162887573242188
Humidity_x_CO2,0.4939403533935547
Methane_minus_CO2,0.45685943961143494
Humidity_ratio_Methane,0.337738037109375
Humidity_minus_CO2,0.3203926086425781
Humidity_minus_Methane,0.29802751541137695
Methane_plus_CO2,0.2895479202270508
Temperature_Methane_CO2,0.24964523315429688
Temperature_Humidity_Methane,0.1563568115234375
Gas_Squared_Load,0.05588522553443909
Humidity_Total_Gas_Load,0.05374418571591377
CO2_Missing,0.0
Humidity_Missing,0.0
Methane_Missing,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_sqrt,0.0
Storage_Days_log,0.0
Temperature_Missing,0.0
Temperature_sqrt,0.0
Temperature_log,0.0
Temperature_abs,0.0
Storage_Days_abs,0.0
CO2_sqrt,0.0
CO2_cube,0.0
CO2_log,0.0
Storage_Days_Missing,0.0
Humidity_cube,0.0
Humidity_abs,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Humidity_Methane_CO2,0.0
Temperature_Total_Gas_Load,0.0
Methane_to_CO2,0.0
Total_Gas,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
CO2_to_Methane,0.0
Humidity_plus_CO2,0.0
Humidity_plus_Methane,0.0
Storage_x_Humidity_sq,0.0
Storage_sq_x_Methane,0.0
Storage_sq_x_CO2,0.0
Storage_Total_Gas,0.0
Storage_Temperature_Gas,0.0
Environmental_Gas_Load,0.0
Storage_Environmental_Load,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
