Feature,Gain
Storage_x_Temperature,163.3134002685547
Storage_x_Temperature_sq,155.02392578125
Storage_sq_x_Methane,128.49012756347656
Temperature,102.14856719970703
Temperature_cube,67.88044738769531
Temperature_sq,65.15434265136719
Storage_x_CO2,57.608036041259766
Storage_x_Humidity,41.406429290771484
Temperature_x_Methane,37.78514862060547
Temperature_Humidity_Load,33.50795364379883
Storage_x_CO2_sq,31.269012451171875
Methane,28.27024269104004
Storage_Temperature_Humidity,24.614206314086914
Temperature_x_Humidity,18.63155174255371
Storage_x_Methane,18.1163387298584
Temperature_plus_Methane,14.911271095275879
Storage_sq_x_Temperature,12.678442001342773
Temperature_minus_Methane,12.472051620483398
Methane_sq,10.814915657043457
Temperature_x_CO2,10.282755851745605
Temperature_ratio_Methane,9.49878978729248
Storage_x_Humidity_sq,9.310941696166992
CO2_cube,8.019280433654785
CO2,7.5824737548828125
Storage_sq_x_CO2,6.995678901672363
Methane_cube,5.566446304321289
CO2_sq,5.527994155883789
Temperature_minus_CO2,4.024587631225586
Storage_x_Methane_sq,3.537764310836792
Temperature_plus_Humidity,2.7469727993011475
CO2_to_Methane,2.34033203125
Humidity_minus_Methane,0.8877105712890625
Storage_Days,0.7921245098114014
Humidity,0.6482162475585938
Temperature_ratio_CO2,0.6043453812599182
Humidity_sq,0.5932397842407227
Humidity_ratio_CO2,0.5176241397857666
Humidity_plus_Methane,0.48613739013671875
Methane_plus_CO2,0.44875335693359375
Humidity_x_Methane,0.3662395477294922
Humidity_plus_CO2,0.3203188478946686
Temperature_Humidity_CO2,0.31368857622146606
Temperature_Methane_CO2,0.3095283508300781
Methane_x_CO2,0.30834707617759705
Humidity_x_CO2,0.2719573974609375
Methane_Missing,0.2137908935546875
Temperature_minus_Humidity,0.185699462890625
Temperature_Humidity_Methane,0.15017414093017578
Humidity_Methane_CO2,0.1293252408504486
Methane_minus_CO2,0.05872735381126404
Gas_Magnitude,0.057590000331401825
Environmental_Gas_Load,0.05639979615807533
Humidity_minus_CO2,0.05492469295859337
Storage_Environmental_Load,0.05396808311343193
Storage_Total_Gas,0.052169203758239746
Humidity_Total_Gas_Load,0.05120956897735596
CO2_Missing,0.0
Storage_Days_Missing,0.0
Temperature_abs,0.0
Temperature_Missing,0.0
Humidity_Missing,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_sqrt,0.0
Storage_Days_log,0.0
CO2_sqrt,0.0
CO2_abs,0.0
Temperature_log,0.0
Humidity_sqrt,0.0
Humidity_abs,0.0
Humidity_log,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_Total_Gas_Load,0.0
Total_Gas,0.0
Gas_Squared_Load,0.0
Methane_ratio_CO2,0.0
Gas_Product,0.0
Methane_to_CO2,0.0
Temperature_plus_CO2,0.0
Humidity_ratio_Methane,0.0
Storage_Days_abs,0.0
Storage_Days_cube,0.0
Storage_Days_sq,0.0
CO2_log,0.0
Humidity_cube,0.0
Temperature_sqrt,0.0
Storage_sq_x_Humidity,0.0
Storage_Temperature_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
