Feature,Gain
Methane_cube,326.007568359375
Storage_sq_x_CO2,277.0026550292969
Storage_x_CO2_sq,176.44644165039062
Storage_x_Temperature,171.15252685546875
Temperature_ratio_CO2,137.36512756347656
Storage_x_CO2,117.2759017944336
Methane,110.80413818359375
Temperature_x_Methane,103.3624267578125
Temperature_plus_Methane,102.72661590576172
Storage_sq_x_Humidity,95.29073333740234
Temperature_x_CO2,83.96929168701172
CO2,83.30538177490234
Methane_sq,77.66246032714844
Storage_x_Methane_sq,60.76606750488281
Temperature_minus_Methane,59.31013870239258
Storage_x_Temperature_sq,49.55828094482422
Temperature_minus_CO2,49.16118240356445
Storage_sq_x_Methane,42.66015625
Temperature_ratio_Methane,37.29536056518555
Storage_Temperature_Humidity,34.762596130371094
Storage_sq_x_Temperature,20.728906631469727
Storage_Days,14.630925178527832
CO2_sq,12.515125274658203
Storage_x_Humidity_sq,12.375767707824707
Temperature_plus_CO2,9.63651180267334
Humidity_plus_CO2,8.10369873046875
Storage_Days_cube,6.28375244140625
Storage_x_Methane,5.717097759246826
Methane_Missing,5.715765476226807
Storage_Days_sq,4.137931823730469
CO2_Missing,3.359701633453369
Humidity_plus_Methane,2.1353204250335693
CO2_cube,2.0812671184539795
Humidity_sq,1.8852310180664062
Humidity_x_CO2,1.7449140548706055
Temperature_Humidity_Methane,1.6202419996261597
Humidity,1.446319580078125
Humidity_minus_Methane,1.389554500579834
Temperature_x_Humidity,1.3786675930023193
Storage_x_Humidity,1.2635756731033325
Methane_minus_CO2,1.25616455078125
Temperature_Humidity_CO2,1.1984872817993164
Humidity_x_Methane,1.1664772033691406
Temperature_Humidity_Load,1.1168161630630493
Temperature_plus_Humidity,1.0234594345092773
Humidity_ratio_CO2,1.001969814300537
Temperature_minus_Humidity,0.8820411562919617
Temperature_sq,0.8100929260253906
Humidity_ratio_Methane,0.7541101574897766
Humidity_abs,0.71124267578125
Storage_Total_Gas,0.59025639295578
Temperature_Methane_CO2,0.568939208984375
Temperature_ratio_Humidity,0.5609720349311829
Humidity_minus_CO2,0.4963722229003906
Storage_Temperature_Gas,0.44268798828125
Temperature,0.2940031588077545
Temperature_Total_Gas_Load,0.2674217224121094
CO2_to_Methane,0.13492554426193237
Humidity_Total_Gas_Load,0.1332540214061737
Humidity_Methane_CO2,0.12185095995664597
Methane_to_CO2,0.11310961097478867
Methane_ratio_CO2,0.10606935620307922
Environmental_Gas_Load,0.07560063153505325
Storage_Environmental_Load,0.06427375227212906
Humidity_Missing,0.0
Temperature_Missing,0.0
Storage_Days_log,0.0
Temperature_sqrt,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Gas_Product,0.0
Total_Gas,0.0
Gas_Squared_Load,0.0
Gas_Magnitude,0.0
Methane_x_CO2,0.0
Methane_plus_CO2,0.0
Temperature_log,0.0
Humidity_cube,0.0
Storage_Days_Missing,0.0
Temperature_cube,0.0
CO2_abs,0.0
CO2_sqrt,0.0
Storage_Days_abs,0.0
CO2_log,0.0
Storage_Days_sqrt,0.0
Temperature_abs,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
