Feature,Gain
Storage_x_Temperature,257.66241455078125
Storage_x_Temperature_sq,175.0939483642578
Storage_Days_sq,145.2977294921875
Storage_Days,114.36338806152344
Storage_Days_cube,113.37905883789062
Temperature_sq,47.32867431640625
Temperature,44.662105560302734
Storage_sq_x_Temperature,35.982635498046875
CO2_sq,30.769004821777344
CO2,29.730066299438477
Temperature_Humidity_Load,26.664194107055664
Temperature_cube,22.60006332397461
Storage_Temperature_Humidity,21.039331436157227
Storage_x_Humidity,16.029014587402344
CO2_sqrt,12.051819801330566
Storage_x_Methane_sq,10.174497604370117
Storage_x_Humidity_sq,9.962248802185059
Methane,9.811554908752441
Storage_sq_x_Methane,8.017199516296387
Temperature_x_Methane,7.772572994232178
Temperature_x_Humidity,6.810573101043701
Storage_x_Methane,5.527938365936279
Temperature_ratio_Methane,5.181178092956543
CO2_log,2.7031633853912354
Storage_Days_abs,1.9515634775161743
Methane_sq,1.6445045471191406
Temperature_minus_Methane,1.3835970163345337
CO2_cube,1.149135708808899
CO2_Missing,1.099029541015625
Storage_sq_x_CO2,0.8678942918777466
CO2_to_Methane,0.6144866943359375
Temperature_Total_Gas_Load,0.6089935302734375
Methane_plus_CO2,0.5423812866210938
Methane_x_CO2,0.530120849609375
Humidity_ratio_Methane,0.5068804025650024
Humidity_ratio_CO2,0.48614501953125
Humidity_minus_Methane,0.4774128496646881
Temperature_ratio_CO2,0.47346192598342896
Humidity,0.4183247983455658
Humidity_x_CO2,0.380218505859375
Temperature_plus_Humidity,0.3652191162109375
Temperature_x_CO2,0.33480072021484375
Environmental_Gas_Load,0.2313995361328125
Humidity_x_Methane,0.11383438110351562
Humidity_minus_CO2,0.07843970507383347
Storage_Days_log,0.0
CO2_abs,0.0
Temperature_minus_Humidity,0.0
Storage_Days_sqrt,0.0
Temperature_plus_Methane,0.0
Temperature_ratio_Humidity,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Humidity_plus_CO2,0.0
Temperature_plus_CO2,0.0
Temperature_minus_CO2,0.0
Humidity_plus_Methane,0.0
Gas_Product,0.0
Methane_minus_CO2,0.0
Humidity_sq,0.0
Temperature_abs,0.0
Humidity_cube,0.0
Humidity_abs,0.0
Temperature_Missing,0.0
Humidity_Missing,0.0
Methane_Missing,0.0
Temperature_log,0.0
Temperature_sqrt,0.0
Storage_Days_Missing,0.0
Humidity_Methane_CO2,0.0
Temperature_Methane_CO2,0.0
Temperature_Humidity_CO2,0.0
Temperature_Humidity_Methane,0.0
Humidity_Total_Gas_Load,0.0
Gas_Magnitude,0.0
Gas_Squared_Load,0.0
Methane_to_CO2,0.0
Methane_ratio_CO2,0.0
Total_Gas,0.0
Storage_sq_x_Humidity,0.0
Storage_x_CO2_sq,0.0
Storage_x_CO2,0.0
Storage_Total_Gas,0.0
Storage_Temperature_Gas,0.0
Storage_Environmental_Load,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
