Feature,Gain
Temperature_cube,186.93116760253906
Storage_x_Temperature_sq,177.15570068359375
Temperature,98.06784057617188
Storage_sq_x_Methane,97.02953338623047
Storage_x_Temperature,85.82110595703125
Temperature_sq,71.82524871826172
CO2_sq,67.8978500366211
Storage_sq_x_Temperature,55.496360778808594
CO2,44.13088607788086
Storage_x_Methane_sq,40.800662994384766
Methane,23.50402069091797
Temperature_abs,14.733302116394043
Temperature_minus_CO2,13.986077308654785
Temperature_minus_Methane,11.297283172607422
Storage_x_Humidity_sq,9.143866539001465
Methane_sq,9.106810569763184
Temperature_x_CO2,8.528417587280273
Storage_x_Methane,7.616307258605957
Temperature_Humidity_Load,6.84535026550293
CO2_cube,4.333093643188477
Temperature_x_Humidity,3.2493748664855957
Storage_x_Humidity,2.6443960666656494
Temperature_ratio_Methane,2.1237101554870605
Temperature_x_Methane,2.0430192947387695
Temperature_plus_CO2,1.9709320068359375
Temperature_plus_Methane,1.8239152431488037
Storage_sq_x_Humidity,1.607421875
Storage_Temperature_Humidity,1.3983042240142822
Methane_minus_CO2,1.2165796756744385
Humidity_ratio_CO2,1.183698296546936
Temperature_ratio_CO2,1.1684705018997192
Temperature_Humidity_CO2,0.9362640380859375
Humidity,0.6842444539070129
CO2_Missing,0.6766319274902344
Humidity_x_Methane,0.570098876953125
Humidity_sq,0.479949951171875
Humidity_plus_Methane,0.39948463439941406
Humidity_x_CO2,0.338958740234375
Storage_Days,0.32190245389938354
Temperature_plus_Humidity,0.31481119990348816
Humidity_minus_Methane,0.31201171875
Temperature_Humidity_Methane,0.169769287109375
Methane_ratio_CO2,0.07480621337890625
Humidity_Total_Gas_Load,0.055145904421806335
Environmental_Gas_Load,0.053960222750902176
Storage_Environmental_Load,0.05357849970459938
CO2_log,0.0
Storage_Days_log,0.0
Storage_Days_sqrt,0.0
Temperature_minus_Humidity,0.0
Temperature_ratio_Humidity,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_sqrt,0.0
Temperature_log,0.0
Methane_plus_CO2,0.0
Humidity_plus_CO2,0.0
Humidity_ratio_Methane,0.0
Storage_Days_sq,0.0
Storage_Days_cube,0.0
Storage_Days_abs,0.0
CO2_sqrt,0.0
CO2_abs,0.0
Temperature_Missing,0.0
Humidity_Missing,0.0
Methane_Missing,0.0
Storage_Days_Missing,0.0
Humidity_cube,0.0
Humidity_abs,0.0
Humidity_Methane_CO2,0.0
Temperature_Methane_CO2,0.0
Temperature_Total_Gas_Load,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
Gas_Squared_Load,0.0
Methane_to_CO2,0.0
CO2_to_Methane,0.0
Total_Gas,0.0
Humidity_minus_CO2,0.0
Methane_x_CO2,0.0
Storage_x_CO2,0.0
Storage_sq_x_CO2,0.0
Storage_x_CO2_sq,0.0
Storage_Temperature_Gas,0.0
Storage_Total_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
Cumulative_Gas_Mean,0.0
Cumulative_Gas_Max,0.0
Cumulative_Gas_Range,0.0
Temperature_BaselineDeviation,0.0
Temperature_BaselineDeviationPct,0.0
Humidity_BaselineDeviation,0.0
Humidity_BaselineDeviationPct,0.0
Methane_BaselineDeviation,0.0
Methane_BaselineDeviationPct,0.0
CO2_BaselineDeviation,0.0
CO2_BaselineDeviationPct,0.0
MethaneRate_x_CO2Rate,0.0
TemperatureRate_x_HumidityRate,0.0
TemperatureRate_x_GasRate,0.0
