Feature,Gain
Storage_x_Temperature_sq,221.3296356201172
Temperature_cube,144.9871368408203
Storage_x_CO2,97.11874389648438
Temperature,96.11798095703125
Temperature_sq,82.03555297851562
Storage_x_Temperature,56.148136138916016
Temperature_x_CO2,35.41773986816406
Methane,32.7177848815918
CO2_sq,25.231138229370117
Temperature_Humidity_Load,24.48196029663086
Methane_sq,20.877626419067383
Storage_x_CO2_sq,20.457796096801758
CO2,18.11065101623535
Temperature_x_Humidity,18.00525665283203
Storage_Temperature_Humidity,16.096336364746094
Temperature_abs,14.90066909790039
Temperature_ratio_CO2,5.501159191131592
Storage_x_Humidity_sq,2.104816198348999
Temperature_minus_CO2,2.0155515670776367
Storage_sq_x_CO2,1.4649605751037598
Temperature_plus_Methane,1.1747283935546875
Temperature_minus_Humidity,0.830902099609375
Temperature_ratio_Methane,0.7437419891357422
Storage_sq_x_Temperature,0.6933762431144714
Temperature_plus_Humidity,0.6609375476837158
Humidity_ratio_CO2,0.5713119506835938
Methane_x_CO2,0.509552001953125
Storage_Days,0.5085878372192383
Humidity_minus_Methane,0.43639087677001953
Humidity_x_CO2,0.4164772033691406
Humidity_cube,0.3758544921875
Temperature_x_Methane,0.36603546142578125
Humidity,0.32613134384155273
Humidity_minus_CO2,0.3134479522705078
Humidity_x_Methane,0.2913970947265625
Temperature_minus_Methane,0.2184600830078125
Humidity_plus_CO2,0.19469928741455078
Storage_x_Methane,0.1746826171875
Methane_minus_CO2,0.1038055419921875
Humidity_ratio_Methane,0.10088539123535156
Storage_Temperature_Gas,0.09227752685546875
Temperature_Total_Gas_Load,0.07982294261455536
Methane_plus_CO2,0.07639779895544052
Humidity_Total_Gas_Load,0.06961527466773987
Methane_ratio_CO2,0.06552927196025848
Environmental_Gas_Load,0.06471909582614899
Humidity_Methane_CO2,0.06396317481994629
Storage_Environmental_Load,0.05731360241770744
CO2_log,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_sqrt,0.0
Storage_Days_log,0.0
CO2_sqrt,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_sqrt,0.0
Temperature_log,0.0
Storage_Days_Missing,0.0
Humidity_sq,0.0
Humidity_abs,0.0
Storage_Days_sq,0.0
Storage_Days_cube,0.0
Storage_Days_abs,0.0
CO2_cube,0.0
CO2_abs,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
CO2_Missing,0.0
Methane_Missing,0.0
Humidity_Missing,0.0
Temperature_Missing,0.0
Temperature_Humidity_CO2,0.0
Temperature_Methane_CO2,0.0
Temperature_Humidity_Methane,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
Gas_Squared_Load,0.0
Methane_to_CO2,0.0
CO2_to_Methane,0.0
Total_Gas,0.0
Temperature_plus_CO2,0.0
Humidity_plus_Methane,0.0
Storage_x_Humidity,0.0
Storage_sq_x_Methane,0.0
Storage_x_Methane_sq,0.0
Storage_sq_x_Humidity,0.0
Storage_Total_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
