Feature,Gain
Storage_x_Temperature,199.09877014160156
Storage_x_Temperature_sq,162.63128662109375
Storage_x_CO2,154.63424682617188
Storage_sq_x_CO2,120.51996612548828
CO2_sq,56.98870849609375
Temperature,56.908016204833984
Storage_x_Methane_sq,55.93610763549805
Storage_x_CO2_sq,51.039039611816406
Temperature_ratio_CO2,46.32389450073242
Temperature_x_CO2,43.84085464477539
CO2,40.664588928222656
Temperature_sq,38.5750617980957
Storage_sq_x_Temperature,35.98133850097656
Storage_x_Methane,32.57691192626953
Methane_sq,32.05268096923828
Temperature_minus_CO2,32.048954010009766
Temperature_x_Methane,29.519065856933594
Methane,26.503198623657227
Temperature_ratio_Methane,24.98601531982422
Storage_Temperature_Humidity,23.17804527282715
Temperature_minus_Methane,21.053686141967773
Temperature_plus_Methane,17.87592315673828
Temperature_abs,15.30340576171875
Temperature_cube,10.951860427856445
Temperature_x_Humidity,8.801841735839844
Storage_x_Humidity_sq,6.725151062011719
Temperature_Humidity_Load,5.981525897979736
Storage_x_Humidity,5.5270562171936035
Methane_minus_CO2,5.001739501953125
CO2_log,4.336746692657471
Humidity,2.1789727210998535
Temperature_plus_Humidity,2.0789225101470947
Humidity_sq,1.9736328125
Total_Gas,1.238189697265625
Storage_Environmental_Load,1.236602783203125
Humidity_x_Methane,1.1003646850585938
Storage_Days,1.0925334692001343
Temperature_Humidity_Methane,0.9383446574211121
Humidity_ratio_CO2,0.9114882349967957
Humidity_minus_Methane,0.7457004189491272
Humidity_ratio_Methane,0.7331148386001587
Temperature_plus_CO2,0.7076988220214844
Storage_Days_sq,0.6542085409164429
Temperature_minus_Humidity,0.619439423084259
Humidity_Methane_CO2,0.47044292092323303
Humidity_x_CO2,0.4063046872615814
Storage_Total_Gas,0.34747314453125
Humidity_plus_Methane,0.22465896606445312
Temperature_Methane_CO2,0.17581117153167725
Humidity_minus_CO2,0.14408354461193085
Humidity_Total_Gas_Load,0.07271093130111694
Methane_to_CO2,0.06487506628036499
Temperature_ratio_Humidity,0.06450176239013672
Methane_ratio_CO2,0.05534684658050537
Methane_x_CO2,0.05291296914219856
Humidity_Missing,0.0
Temperature_Missing,0.0
Storage_Days_Missing,0.0
Temperature_log,0.0
Storage_Days_cube,0.0
CO2_cube,0.0
CO2_Missing,0.0
Methane_Missing,0.0
Storage_Days_log,0.0
Storage_Days_sqrt,0.0
Humidity_cube,0.0
Humidity_abs,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_Humidity_CO2,0.0
Temperature_Total_Gas_Load,0.0
Gas_Squared_Load,0.0
CO2_to_Methane,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
Humidity_plus_CO2,0.0
Methane_plus_CO2,0.0
Temperature_sqrt,0.0
Storage_Days_abs,0.0
CO2_abs,0.0
CO2_sqrt,0.0
Storage_sq_x_Methane,0.0
Storage_sq_x_Humidity,0.0
Storage_Temperature_Gas,0.0
Environmental_Gas_Load,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
Cumulative_Gas_Mean,0.0
Cumulative_Gas_Max,0.0
Cumulative_Gas_Range,0.0
Temperature_BaselineDeviation,0.0
Temperature_BaselineDeviationPct,0.0
Humidity_BaselineDeviation,0.0
Humidity_BaselineDeviationPct,0.0
Methane_BaselineDeviation,0.0
Methane_BaselineDeviationPct,0.0
CO2_BaselineDeviation,0.0
CO2_BaselineDeviationPct,0.0
MethaneRate_x_CO2Rate,0.0
TemperatureRate_x_HumidityRate,0.0
TemperatureRate_x_GasRate,0.0
