Feature,Gain
Temperature_cube,382.3681335449219
Storage_x_Temperature_sq,138.34364318847656
Temperature,122.177001953125
Temperature_sq,112.8964614868164
Storage_x_Temperature,81.99906921386719
CO2,56.11507797241211
Storage_sq_x_Temperature,42.81593704223633
CO2_sq,34.86329650878906
Temperature_plus_CO2,23.58207893371582
Storage_Temperature_Humidity,23.205724716186523
Temperature_Humidity_Load,21.35080909729004
Temperature_minus_CO2,17.255830764770508
Temperature_abs,15.702547073364258
Temperature_x_CO2,14.523153305053711
Temperature_x_Humidity,10.72017765045166
Storage_x_Methane_sq,10.496683120727539
Temperature_x_Methane,6.491899013519287
Methane,5.554911136627197
Temperature_Humidity_CO2,3.92950439453125
Temperature_ratio_Methane,3.789836883544922
Humidity_Methane_CO2,2.695037841796875
Temperature_minus_Methane,2.314112424850464
Humidity_cube,1.87042236328125
Methane_sq,1.71317720413208
Storage_x_Methane,1.385009527206421
Storage_x_Humidity_sq,1.383224368095398
Storage_x_CO2_sq,1.360102653503418
CO2_cube,1.2937723398208618
Humidity_ratio_Methane,1.281341552734375
Storage_Days_sq,1.2447707653045654
Humidity_sq,1.1430397033691406
Storage_Days,1.1206480264663696
Humidity,0.9161081314086914
Humidity_plus_CO2,0.872406005859375
Temperature_plus_Methane,0.7647230625152588
Temperature_plus_Humidity,0.5779083967208862
Humidity_x_Methane,0.5177790522575378
Humidity_minus_Methane,0.4940185546875
Temperature_Methane_CO2,0.36942481994628906
Temperature_ratio_CO2,0.321319580078125
Humidity_x_CO2,0.30303192138671875
Temperature_minus_Humidity,0.19675827026367188
Methane_x_CO2,0.19120369851589203
Environmental_Gas_Load,0.13704325258731842
Humidity_minus_CO2,0.12686920166015625
Methane_ratio_CO2,0.08982758969068527
CO2_to_Methane,0.0853765606880188
Methane_minus_CO2,0.08090183138847351
Storage_Temperature_Gas,0.06518567353487015
Humidity_Total_Gas_Load,0.06343411654233932
Storage_Environmental_Load,0.0591207779943943
CO2_Missing,0.0
Methane_Missing,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_sqrt,0.0
Humidity_Missing,0.0
Temperature_Missing,0.0
Storage_Days_Missing,0.0
Temperature_log,0.0
Storage_Days_log,0.0
CO2_abs,0.0
CO2_sqrt,0.0
CO2_log,0.0
Storage_Days_cube,0.0
Storage_Days_abs,0.0
Temperature_sqrt,0.0
Humidity_abs,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_Total_Gas_Load,0.0
Temperature_Humidity_Methane,0.0
Gas_Squared_Load,0.0
Total_Gas,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
Methane_to_CO2,0.0
Methane_plus_CO2,0.0
Humidity_ratio_CO2,0.0
Humidity_plus_Methane,0.0
Storage_x_Humidity,0.0
Storage_sq_x_Humidity,0.0
Storage_sq_x_Methane,0.0
Storage_x_CO2,0.0
Storage_sq_x_CO2,0.0
Storage_Total_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
Cumulative_Gas_Mean,0.0
Cumulative_Gas_Max,0.0
Cumulative_Gas_Range,0.0
Temperature_BaselineDeviation,0.0
Temperature_BaselineDeviationPct,0.0
Humidity_BaselineDeviation,0.0
Humidity_BaselineDeviationPct,0.0
Methane_BaselineDeviation,0.0
Methane_BaselineDeviationPct,0.0
CO2_BaselineDeviation,0.0
CO2_BaselineDeviationPct,0.0
MethaneRate_x_CO2Rate,0.0
TemperatureRate_x_HumidityRate,0.0
TemperatureRate_x_GasRate,0.0
