Feature,Gain
Storage_x_Humidity_sq,263.5694274902344
Storage_Days,218.98190307617188
Storage_Days_sq,202.78477478027344
Storage_x_Temperature,117.36373138427734
Storage_Days_cube,111.79093170166016
Storage_x_Temperature_sq,99.64676666259766
Temperature,56.0311393737793
Temperature_cube,48.854774475097656
Temperature_sq,47.20063018798828
Storage_Temperature_Humidity,35.07841491699219
Temperature_minus_CO2,28.017709732055664
Storage_sq_x_Humidity,25.00079917907715
Storage_x_Humidity,24.036361694335938
Temperature_ratio_CO2,22.614280700683594
CO2,14.4785737991333
Temperature_abs,14.40264892578125
Storage_x_Methane_sq,10.361762046813965
Storage_sq_x_Temperature,10.326334953308105
Storage_x_CO2,10.027902603149414
Temperature_ratio_Methane,7.683615684509277
Temperature_x_CO2,5.043715476989746
Temperature_minus_Methane,4.947307586669922
Temperature_x_Methane,4.475354194641113
Temperature_plus_Methane,1.359420895576477
Humidity_minus_Methane,1.327789306640625
Temperature_Humidity_CO2,1.31304931640625
Humidity_sq,0.7565765380859375
Humidity,0.5704135894775391
Storage_x_CO2_sq,0.567779541015625
Humidity_plus_CO2,0.565460205078125
Temperature_plus_Humidity,0.5608108639717102
Humidity_plus_Methane,0.5538330078125
Methane_ratio_CO2,0.5344085693359375
Storage_sq_x_Methane,0.50433349609375
Temperature_Methane_CO2,0.377716064453125
Methane,0.3732566833496094
Temperature_minus_Humidity,0.29305267333984375
Humidity_minus_CO2,0.23482513427734375
Humidity_x_CO2,0.1938934326171875
Humidity_ratio_CO2,0.17710034549236298
Humidity_Total_Gas_Load,0.07689288258552551
Storage_Environmental_Load,0.06525648385286331
Environmental_Gas_Load,0.06352254003286362
Humidity_Methane_CO2,0.05828678607940674
Temperature_x_Humidity,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_sqrt,0.0
Storage_Days_log,0.0
Storage_Days_abs,0.0
CO2_cube,0.0
CO2_sq,0.0
Humidity_log,0.0
Methane_sq,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Humidity_cube,0.0
Methane_plus_CO2,0.0
Humidity_ratio_Methane,0.0
Humidity_x_Methane,0.0
CO2_sqrt,0.0
CO2_abs,0.0
CO2_log,0.0
Temperature_Missing,0.0
CO2_Missing,0.0
Methane_Missing,0.0
Humidity_Missing,0.0
Humidity_abs,0.0
Storage_Days_Missing,0.0
Temperature_sqrt,0.0
Temperature_log,0.0
Humidity_sqrt,0.0
Temperature_Total_Gas_Load,0.0
Temperature_Humidity_Load,0.0
Temperature_Humidity_Methane,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
Gas_Squared_Load,0.0
Methane_to_CO2,0.0
CO2_to_Methane,0.0
Methane_minus_CO2,0.0
Total_Gas,0.0
Methane_x_CO2,0.0
Temperature_plus_CO2,0.0
Storage_x_Methane,0.0
Storage_sq_x_CO2,0.0
Storage_Temperature_Gas,0.0
Storage_Total_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
Cumulative_Gas_Mean,0.0
Cumulative_Gas_Max,0.0
Cumulative_Gas_Range,0.0
Temperature_BaselineDeviation,0.0
Temperature_BaselineDeviationPct,0.0
Humidity_BaselineDeviation,0.0
Humidity_BaselineDeviationPct,0.0
Methane_BaselineDeviation,0.0
Methane_BaselineDeviationPct,0.0
CO2_BaselineDeviation,0.0
CO2_BaselineDeviationPct,0.0
MethaneRate_x_CO2Rate,0.0
TemperatureRate_x_HumidityRate,0.0
TemperatureRate_x_GasRate,0.0
