Feature,Gain
Temperature_cube,199.3687286376953
Storage_x_Temperature_sq,175.8254852294922
Storage_x_Temperature,125.21670532226562
Temperature,104.07807922363281
Storage_x_CO2,83.3508529663086
Temperature_x_CO2,65.58353424072266
CO2,59.4855842590332
Temperature_sq,55.370506286621094
Storage_sq_x_Temperature,36.98015594482422
CO2_sq,23.980379104614258
CO2_abs,15.396023750305176
Storage_sq_x_CO2,14.565475463867188
Temperature_minus_Methane,12.170317649841309
Storage_x_Methane_sq,11.939706802368164
Storage_x_Methane,10.71767807006836
Storage_Temperature_Humidity,8.82876968383789
Temperature_plus_Methane,8.586648941040039
Temperature_ratio_Methane,8.268227577209473
Temperature_x_Methane,7.803247928619385
Storage_x_Humidity_sq,7.530878067016602
Storage_sq_x_Methane,5.402861595153809
Temperature_minus_CO2,5.238178253173828
Methane,5.154350757598877
CO2_cube,4.638988018035889
Temperature_Humidity_Load,4.042911529541016
Temperature_x_Humidity,4.020386695861816
CO2_to_Methane,2.869598388671875
Temperature_ratio_CO2,2.342585802078247
Storage_x_CO2_sq,1.6950327157974243
Temperature_plus_CO2,1.4766203165054321
Methane_sq,1.328536033630371
Temperature_plus_Humidity,1.1112360954284668
Storage_Days,1.102808952331543
Methane_x_CO2,1.0103124380111694
Humidity_plus_Methane,0.9134120941162109
Humidity_ratio_CO2,0.8405842185020447
Humidity_sq,0.6810302734375
Storage_x_Humidity,0.6728591918945312
Humidity_x_Methane,0.6352208256721497
Storage_Days_cube,0.5554046630859375
Humidity_minus_Methane,0.5307566523551941
Humidity_x_CO2,0.5051218867301941
Temperature_Humidity_Methane,0.4593391418457031
Temperature_Total_Gas_Load,0.374481201171875
Humidity_plus_CO2,0.37287139892578125
Storage_sq_x_Humidity,0.3577899932861328
Methane_plus_CO2,0.3417091369628906
Temperature_minus_Humidity,0.2872721254825592
Humidity_minus_CO2,0.1860980987548828
Storage_Temperature_Gas,0.1826019287109375
Humidity_Methane_CO2,0.17875948548316956
Humidity_ratio_Methane,0.15501853823661804
Humidity,0.1324319839477539
Humidity_Total_Gas_Load,0.12204775959253311
Gas_Magnitude,0.09310165047645569
Methane_ratio_CO2,0.07106626033782959
Environmental_Gas_Load,0.05582429841160774
Temperature_sqrt,0.0
Temperature_log,0.0
Humidity_Missing,0.0
Temperature_Missing,0.0
CO2_Missing,0.0
Methane_Missing,0.0
Storage_Days_log,0.0
Storage_Days_sqrt,0.0
Temperature_ratio_Humidity,0.0
Humidity_abs,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_Humidity_CO2,0.0
Temperature_Methane_CO2,0.0
Gas_Squared_Load,0.0
Methane_minus_CO2,0.0
Gas_Product,0.0
Total_Gas,0.0
Methane_to_CO2,0.0
Humidity_cube,0.0
Storage_Days_Missing,0.0
Storage_Days_sq,0.0
CO2_log,0.0
CO2_sqrt,0.0
Storage_Days_abs,0.0
Temperature_abs,0.0
Storage_Total_Gas,0.0
Storage_Environmental_Load,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
