Feature,Gain
Storage_x_Temperature,143.6568603515625
Temperature,143.00637817382812
Storage_x_Temperature_sq,125.06770324707031
Temperature_cube,124.12229919433594
Temperature_sq,111.52855682373047
Storage_sq_x_Temperature,69.0658950805664
CO2_sq,52.61542510986328
Storage_x_Humidity,32.76718521118164
CO2,29.695993423461914
Temperature_ratio_Methane,18.35378074645996
Storage_x_Methane,17.774887084960938
Temperature_plus_Methane,16.078468322753906
Temperature_minus_Methane,15.98608112335205
Temperature_minus_CO2,15.245058059692383
Temperature_x_Humidity,13.381388664245605
Temperature_Humidity_Load,13.212185859680176
Temperature_x_Methane,11.987452507019043
Methane,10.60794448852539
Storage_Temperature_Humidity,8.305367469787598
Storage_x_Humidity_sq,5.861051082611084
Storage_sq_x_Methane,3.77851939201355
Methane_sq,3.2801806926727295
Storage_x_Methane_sq,3.186368227005005
Storage_x_CO2_sq,2.927320957183838
Temperature_x_CO2,1.669947862625122
Temperature_Total_Gas_Load,1.1815236806869507
Humidity_plus_Methane,1.1316680908203125
Storage_Days,1.0011513233184814
Temperature_Humidity_Methane,0.9533767700195312
Gas_Product,0.941802978515625
Humidity_ratio_CO2,0.8861427307128906
Temperature_Methane_CO2,0.8278350830078125
Storage_Environmental_Load,0.7725265026092529
Methane_Missing,0.7456130981445312
Storage_sq_x_CO2,0.682159423828125
Environmental_Gas_Load,0.654453694820404
Humidity_x_CO2,0.5313934087753296
Temperature_plus_Humidity,0.5198333859443665
Storage_sq_x_Humidity,0.5197105407714844
Methane_minus_CO2,0.5071640014648438
Humidity,0.4684395492076874
Methane_x_CO2,0.38809967041015625
Humidity_plus_CO2,0.37590789794921875
Humidity_ratio_Methane,0.3701009154319763
Humidity_cube,0.3654212951660156
Humidity_Methane_CO2,0.35535311698913574
Temperature_ratio_CO2,0.3453839123249054
Temperature_plus_CO2,0.333740234375
Methane_ratio_CO2,0.3119964599609375
Humidity_minus_Methane,0.30360648036003113
Humidity_x_Methane,0.2891712188720703
Methane_to_CO2,0.2504730224609375
Methane_plus_CO2,0.23550288379192352
CO2_to_Methane,0.06980514526367188
Humidity_minus_CO2,0.0686781257390976
Temperature_Humidity_CO2,0.060955312103033066
Humidity_Total_Gas_Load,0.05974641814827919
Storage_Temperature_Gas,0.050577081739902496
Temperature_log,0.0
Storage_Days_Missing,0.0
Temperature_Missing,0.0
CO2_Missing,0.0
Humidity_Missing,0.0
Storage_Days_cube,0.0
Storage_Days_sq,0.0
Temperature_minus_Humidity,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_log,0.0
Storage_Days_sqrt,0.0
CO2_log,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Gas_Squared_Load,0.0
Total_Gas,0.0
Gas_Magnitude,0.0
Methane_cube,0.0
Humidity_log,0.0
CO2_cube,0.0
CO2_abs,0.0
CO2_sqrt,0.0
Storage_Days_abs,0.0
Humidity_sq,0.0
Humidity_sqrt,0.0
