Feature,Gain
Storage_sq_x_Humidity,201.18719482421875
Storage_x_Temperature,138.72181701660156
Temperature,110.93904876708984
Temperature_cube,108.89887237548828
Temperature_sq,94.1865234375
Storage_sq_x_Temperature,92.98908233642578
Storage_x_Temperature_sq,91.96110534667969
Temperature_x_CO2,86.7967758178711
Temperature_minus_CO2,70.74302673339844
Storage_x_Humidity_sq,62.885128021240234
CO2_sq,57.208866119384766
Temperature_x_Humidity,51.42933654785156
CO2,49.27839279174805
Storage_x_CO2_sq,47.7061653137207
Storage_x_Methane_sq,36.493473052978516
Temperature_minus_Methane,31.550931930541992
Temperature_Humidity_Load,18.120237350463867
Methane,12.846385955810547
Storage_sq_x_Methane,12.840383529663086
Temperature_ratio_CO2,12.338963508605957
Temperature_ratio_Methane,11.823057174682617
Storage_x_CO2,10.674683570861816
Methane_sq,4.564052104949951
Storage_Temperature_Humidity,4.309149265289307
Temperature_plus_CO2,3.7165937423706055
Storage_x_Methane,2.3978424072265625
Storage_x_Humidity,2.375842332839966
Methane_Missing,1.3895034790039062
Temperature_Humidity_Methane,1.3868408203125
Storage_Days_abs,1.34781813621521
Humidity_plus_Methane,1.2784757614135742
Environmental_Gas_Load,1.0159975290298462
Humidity_Total_Gas_Load,0.9945220947265625
Temperature_x_Methane,0.9465301632881165
Humidity_x_Methane,0.9250869750976562
Methane_minus_CO2,0.9241017699241638
Methane_ratio_CO2,0.9134368896484375
Humidity_x_CO2,0.7942237854003906
Humidity_minus_Methane,0.7806841135025024
Humidity_ratio_CO2,0.7475395798683167
Storage_Days,0.7019996047019958
Methane_x_CO2,0.5316162109375
Humidity,0.5244242548942566
Storage_Total_Gas,0.4900970458984375
Gas_Magnitude,0.4799295961856842
Methane_plus_CO2,0.4696846008300781
Temperature_plus_Humidity,0.46468812227249146
Total_Gas,0.354248046875
Humidity_ratio_Methane,0.34654125571250916
Temperature_minus_Humidity,0.3399403989315033
Storage_Days_sq,0.3368644714355469
Temperature_plus_Methane,0.3123626708984375
CO2_Missing,0.289794921875
Humidity_plus_CO2,0.23786163330078125
Humidity_minus_CO2,0.16859135031700134
CO2_to_Methane,0.05794516205787659
Humidity_Methane_CO2,0.0548524409532547
Temperature_abs,0.0
Humidity_sq,0.0
Temperature_log,0.0
Humidity_Missing,0.0
Temperature_Missing,0.0
CO2_sqrt,0.0
Storage_Days_log,0.0
CO2_cube,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_sqrt,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_Humidity_CO2,0.0
Temperature_Methane_CO2,0.0
Temperature_Total_Gas_Load,0.0
Methane_to_CO2,0.0
Gas_Squared_Load,0.0
Gas_Product,0.0
Humidity_abs,0.0
Humidity_cube,0.0
Storage_Days_cube,0.0
CO2_log,0.0
CO2_abs,0.0
Storage_Days_Missing,0.0
Temperature_sqrt,0.0
Storage_sq_x_CO2,0.0
Storage_Temperature_Gas,0.0
Storage_Environmental_Load,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
