Feature,Gain
Storage_x_Temperature_sq,203.14801025390625
Storage_x_Humidity,173.74392700195312
CO2_cube,147.0783233642578
Storage_x_Temperature,122.71186065673828
Storage_x_Methane,79.75259399414062
Storage_sq_x_Temperature,75.81497955322266
CO2_sq,45.76129913330078
CO2,44.24440002441406
Storage_sq_x_Methane,37.95125961303711
Temperature_sq,34.35791778564453
Temperature,33.789459228515625
Temperature_x_Humidity,30.847869873046875
Temperature_plus_Methane,28.337974548339844
Temperature_minus_Methane,22.289384841918945
CO2_abs,21.662147521972656
Temperature_ratio_Methane,20.64275550842285
Methane_sq,15.900988578796387
Temperature_ratio_CO2,11.665555953979492
Temperature_x_Methane,10.95581340789795
Temperature_minus_CO2,10.905034065246582
Temperature_cube,10.355777740478516
Methane,10.293044090270996
Storage_Temperature_Humidity,9.334525108337402
Storage_x_Humidity_sq,7.60119104385376
Temperature_Humidity_Load,5.2606353759765625
Temperature_x_CO2,4.260650634765625
CO2_log,4.123198509216309
Storage_x_CO2_sq,3.916672468185425
Methane_Missing,2.7789039611816406
Temperature_Humidity_CO2,2.363422393798828
Humidity_plus_Methane,1.8263158798217773
Humidity_minus_CO2,1.511871337890625
CO2_to_Methane,1.3908271789550781
Humidity_Total_Gas_Load,1.2047882080078125
Methane_x_CO2,1.1378631591796875
Storage_Days_sq,1.0834426879882812
Humidity_sq,0.8224207758903503
Humidity_ratio_CO2,0.7933006286621094
Temperature_minus_Humidity,0.5903854370117188
Methane_ratio_CO2,0.5521774291992188
Humidity,0.5503630638122559
Storage_Days_cube,0.5355614423751831
Humidity_x_CO2,0.5195785760879517
Temperature_plus_Humidity,0.5042691826820374
Humidity_plus_CO2,0.47934722900390625
Storage_Days,0.42027556896209717
Humidity_x_Methane,0.39778900146484375
Storage_sq_x_Humidity,0.37874603271484375
Humidity_minus_Methane,0.28789639472961426
Methane_minus_CO2,0.26335409283638
Temperature_Humidity_Methane,0.25643444061279297
Storage_x_Methane_sq,0.25289154052734375
Methane_plus_CO2,0.21995088458061218
Storage_Environmental_Load,0.2173885554075241
Humidity_Methane_CO2,0.19330616295337677
Humidity_ratio_Methane,0.1897227019071579
Environmental_Gas_Load,0.1351596862077713
Temperature_plus_CO2,0.0921621322631836
Gas_Magnitude,0.06484007090330124
Gas_Squared_Load,0.06453181803226471
Methane_to_CO2,0.05462269484996796
Temperature_Methane_CO2,0.052486859261989594
Storage_Days_sqrt,0.0
Storage_Days_log,0.0
Storage_Days_abs,0.0
Temperature_abs,0.0
CO2_Missing,0.0
Temperature_Missing,0.0
Humidity_Missing,0.0
Temperature_ratio_Humidity,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Methane_log,0.0
Temperature_Total_Gas_Load,0.0
Total_Gas,0.0
Gas_Product,0.0
Methane_cube,0.0
Humidity_log,0.0
Humidity_sqrt,0.0
Humidity_abs,0.0
Humidity_cube,0.0
Storage_Days_Missing,0.0
Temperature_log,0.0
Temperature_sqrt,0.0
CO2_sqrt,0.0
Storage_sq_x_CO2,0.0
Storage_x_CO2,0.0
Storage_Temperature_Gas,0.0
Storage_Total_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
Cumulative_Gas_Mean,0.0
Cumulative_Gas_Max,0.0
Cumulative_Gas_Range,0.0
Temperature_BaselineDeviation,0.0
Temperature_BaselineDeviationPct,0.0
Humidity_BaselineDeviation,0.0
Humidity_BaselineDeviationPct,0.0
Methane_BaselineDeviation,0.0
Methane_BaselineDeviationPct,0.0
