Feature,Gain
Storage_x_CO2,390.681396484375
Storage_x_Temperature,201.91639709472656
Storage_x_Temperature_sq,194.03492736816406
Storage_sq_x_CO2,81.28890991210938
Temperature_sq,42.372047424316406
Temperature_x_CO2,37.3007698059082
Temperature_x_Methane,37.08335876464844
Storage_x_Methane,34.72672653198242
Methane,33.759620666503906
Storage_x_CO2_sq,32.1840934753418
Temperature,32.02085876464844
Storage_sq_x_Temperature,30.754695892333984
CO2_sq,29.74854850769043
Storage_sq_x_Methane,27.26424217224121
Temperature_minus_CO2,26.22455406188965
Storage_Temperature_Humidity,21.181730270385742
Temperature_plus_Methane,20.859582901000977
Temperature_ratio_Methane,19.070322036743164
Temperature_minus_Methane,16.02688217163086
CO2,15.425265312194824
Temperature_cube,13.645905494689941
Storage_x_Humidity_sq,8.029743194580078
Temperature_abs,7.836734294891357
Storage_x_Methane_sq,6.547714710235596
Temperature_ratio_CO2,5.390219688415527
Storage_x_Humidity,4.357760429382324
Methane_Missing,3.1305389404296875
Methane_minus_CO2,2.2601776123046875
Humidity_ratio_CO2,2.0431747436523438
Temperature_Humidity_Load,1.8631811141967773
Humidity_minus_CO2,1.688232421875
Storage_Days,1.5878841876983643
Temperature_x_Humidity,1.4001648426055908
Humidity_x_CO2,1.3742866516113281
Storage_Total_Gas,1.2784963846206665
CO2_to_Methane,1.2514114379882812
Humidity,1.224633812904358
CO2_cube,1.173930048942566
CO2_Missing,0.9904022216796875
Methane_x_CO2,0.8722429275512695
Humidity_ratio_Methane,0.7877752780914307
Humidity_cube,0.7030258178710938
Storage_Days_sq,0.6512482762336731
Temperature_plus_Humidity,0.5017271041870117
Humidity_minus_Methane,0.41961434483528137
Methane_ratio_CO2,0.3089141845703125
Temperature_Methane_CO2,0.23285293579101562
Temperature_Humidity_Methane,0.1733245849609375
Temperature_plus_CO2,0.16223907470703125
Total_Gas,0.16188812255859375
Humidity_Methane_CO2,0.0775904729962349
Environmental_Gas_Load,0.0772014781832695
Humidity_Total_Gas_Load,0.05748198553919792
Storage_Environmental_Load,0.052192676812410355
Temperature_minus_Humidity,0.0
Temperature_Missing,0.0
Methane_log,0.0
Humidity_sq,0.0
Temperature_log,0.0
Storage_Days_log,0.0
Storage_Days_sqrt,0.0
CO2_sqrt,0.0
Temperature_ratio_Humidity,0.0
Storage_Days_cube,0.0
Storage_Days_abs,0.0
CO2_abs,0.0
Humidity_sqrt,0.0
Humidity_log,0.0
Methane_sq,0.0
Methane_cube,0.0
Methane_abs,0.0
Methane_sqrt,0.0
Humidity_Missing,0.0
Temperature_Humidity_CO2,0.0
Temperature_Total_Gas_Load,0.0
Gas_Squared_Load,0.0
Methane_to_CO2,0.0
Gas_Product,0.0
Gas_Magnitude,0.0
Humidity_plus_CO2,0.0
Methane_plus_CO2,0.0
Humidity_plus_Methane,0.0
Humidity_x_Methane,0.0
CO2_log,0.0
Humidity_abs,0.0
Storage_Days_Missing,0.0
Temperature_sqrt,0.0
Storage_sq_x_Humidity,0.0
Storage_Temperature_Gas,0.0
History_Length,0.0
Time_Delta_Hours,0.0
Temperature_Delta,0.0
Temperature_Rate,0.0
Humidity_Delta,0.0
Humidity_Rate,0.0
Methane_Delta,0.0
Methane_Rate,0.0
CO2_Delta,0.0
CO2_Rate,0.0
Temperature_Acceleration,0.0
Humidity_Acceleration,0.0
Methane_Acceleration,0.0
CO2_Acceleration,0.0
Temperature_RollingMean_3,0.0
Temperature_RollingStd_3,0.0
Temperature_RollingMin_3,0.0
Temperature_RollingMax_3,0.0
Temperature_RollingRange_3,0.0
Humidity_RollingMean_3,0.0
Humidity_RollingStd_3,0.0
Humidity_RollingMin_3,0.0
Humidity_RollingMax_3,0.0
Humidity_RollingRange_3,0.0
Methane_RollingMean_3,0.0
Methane_RollingStd_3,0.0
Methane_RollingMin_3,0.0
Methane_RollingMax_3,0.0
Methane_RollingRange_3,0.0
CO2_RollingMean_3,0.0
CO2_RollingStd_3,0.0
CO2_RollingMin_3,0.0
CO2_RollingMax_3,0.0
CO2_RollingRange_3,0.0
Temperature_RollingMean_5,0.0
Temperature_RollingStd_5,0.0
Temperature_RollingMin_5,0.0
Temperature_RollingMax_5,0.0
Temperature_RollingRange_5,0.0
Humidity_RollingMean_5,0.0
Humidity_RollingStd_5,0.0
Humidity_RollingMin_5,0.0
Humidity_RollingMax_5,0.0
Humidity_RollingRange_5,0.0
Methane_RollingMean_5,0.0
Methane_RollingStd_5,0.0
Methane_RollingMin_5,0.0
Methane_RollingMax_5,0.0
Methane_RollingRange_5,0.0
CO2_RollingMean_5,0.0
CO2_RollingStd_5,0.0
CO2_RollingMin_5,0.0
CO2_RollingMax_5,0.0
CO2_RollingRange_5,0.0
Temperature_RollingMean_10,0.0
Temperature_RollingStd_10,0.0
Temperature_RollingMin_10,0.0
Temperature_RollingMax_10,0.0
Temperature_RollingRange_10,0.0
Humidity_RollingMean_10,0.0
Humidity_RollingStd_10,0.0
Humidity_RollingMin_10,0.0
Humidity_RollingMax_10,0.0
Humidity_RollingRange_10,0.0
Methane_RollingMean_10,0.0
Methane_RollingStd_10,0.0
Methane_RollingMin_10,0.0
Methane_RollingMax_10,0.0
Methane_RollingRange_10,0.0
CO2_RollingMean_10,0.0
CO2_RollingStd_10,0.0
CO2_RollingMin_10,0.0
CO2_RollingMax_10,0.0
CO2_RollingRange_10,0.0
Temperature_CumulativeMean,0.0
Temperature_CumulativeStd,0.0
Temperature_CumulativeMin,0.0
Temperature_CumulativeMax,0.0
Temperature_CumulativeRange,0.0
Temperature_EWMA,0.0
Humidity_CumulativeMean,0.0
Humidity_CumulativeStd,0.0
Humidity_CumulativeMin,0.0
Humidity_CumulativeMax,0.0
Humidity_CumulativeRange,0.0
Humidity_EWMA,0.0
Methane_CumulativeMean,0.0
Methane_CumulativeStd,0.0
Methane_CumulativeMin,0.0
Methane_CumulativeMax,0.0
Methane_CumulativeRange,0.0
Methane_EWMA,0.0
CO2_CumulativeMean,0.0
CO2_CumulativeStd,0.0
CO2_CumulativeMin,0.0
CO2_CumulativeMax,0.0
CO2_CumulativeRange,0.0
CO2_EWMA,0.0
Cumulative_Gas_Mean,0.0
Cumulative_Gas_Max,0.0
Cumulative_Gas_Range,0.0
Temperature_BaselineDeviation,0.0
Temperature_BaselineDeviationPct,0.0
Humidity_BaselineDeviation,0.0
Humidity_BaselineDeviationPct,0.0
Methane_BaselineDeviation,0.0
Methane_BaselineDeviationPct,0.0
CO2_BaselineDeviation,0.0
CO2_BaselineDeviationPct,0.0
MethaneRate_x_CO2Rate,0.0
TemperatureRate_x_HumidityRate,0.0
TemperatureRate_x_GasRate,0.0
